player_id,player_name,bat_hand
444482,"Peralta, David",L
453568,"Blackmon, Charlie",L
455117,"Maldonado, Martín",R
456781,"Solano, Donovan",R
457705,"McCutchen, Andrew",R
457759,"Turner, Justin",R
458015,"Votto, Joey",L
462101,"Andrus, Elvis",R
467055,"Sandoval, Pablo",S
467793,"Santana, Carlos",S
493329,"Gurriel, Yuli",R
500743,"Rojas, Miguel",R
500871,"Escobar, Eduardo",S
501303,"Adrianza, Ehire",S
502054,"Pham, Tommy",R
502110,"Martinez, J.D.",R
502671,"Goldschmidt, Paul",R
506702,"León, Sandy",S
514888,"Altuve, Jose",R
516782,"Marte, Starling",R
518595,"d'Arnaud, Travis",R
518692,"Freeman, Freddie",L
518735,"Grandal, Yasmani",S
518792,"Heyward, Jason",L
518934,"LeMahieu, DJ",R
519058,"Moustakas, Mike",L
519203,"Rizzo, Anthony",L
519317,"Stanton, Giancarlo",R
521692,"Perez, Salvador",R
527038,"Flores, Wilmer",R
541645,"García, Avisaíl",R
541650,"Pérez, Hernán",R
542194,"Bethancourt, Christian",R
542208,"Pérez, Carlos",R
542303,"Ozuna, Marcell",R
542364,"Ortega, Rafael",L
542932,"Berti, Jon",R
542963,"Brantly, Rob",L
543063,"Crawford, Brandon",L
543068,"Cron, C.J.",R
543228,"Gomes, Yan",R
543257,"Grossman, Robbie",S
543281,"Harrison, Josh",R
543305,"Hicks, Aaron",S
543309,"Higashioka, Kyle",R
543510,"McCann, James",R
543518,"McGough, Scott",R
543543,"Miller, Brad",L
543592,"Nola, Austin",R
543685,"Rendon, Anthony",R
543760,"Semien, Marcus",R
543807,"Springer, George",R
543877,"Vázquez, Christian",R
543939,"Wong, Kolten",L
544725,"García, Leury",S
545121,"Vargas, Ildemaro",S
545341,"Grichuk, Randal",R
545350,"Marisnick, Jake",R
545358,"Stassi, Max",R
545361,"Trout, Mike",R
546990,"Alford, Anthony",R
546991,"Almora Jr., Albert",R
546994,"Hinojosa, C.J.",R
547180,"Harper, Bryce",L
547379,"Pérez, Roberto",S
547989,"Abreu, José",R
553869,"Díaz, Elias",R
553882,"Narváez, Omar",L
553988,"Machado, Dixon",R
553993,"Suárez, Eugenio",R
570481,"González, Erik",R
570482,"Urshela, Gio",R
570560,"Sánchez, Yolmer",S
571448,"Arenado, Nolan",R
571466,"Barnhart, Tucker",L
571633,"Dugan, Kelly",L
571657,"Farmer, Kyle",R
571745,"Haniger, Mitch",R
571771,"Hernández, Enrique",R
571875,"Lamb, Jake",L
571912,"Maile, Luke",R
571970,"Muncy, Max",L
572008,"Owings, Chris",R
572039,"Piscotty, Stephen",R
572138,"Singleton, Jon",L
572191,"Taylor, Michael A.",R
572204,"Thompson, Trayce",R
572228,"Voit, Luke",R
572233,"Walker, Christian",R
572761,"Carpenter, Matt",L
573262,"Yastrzemski, Mike",L
575929,"Contreras, Willson",R
578428,"Iglesias, Jose",R
